iter	Passed	Remaining
399	54912	27456
400	55079	27333
401	55211	27193
402	55342	27053
403	55517	26934
404	55681	26809
405	55819	26672
406	55984	26547
407	56173	26434
408	56337	26309
409	56483	26175
410	56610	26032
411	56758	25899
412	56900	25763
413	57047	25630
414	57173	25486
415	57302	25345
416	57456	25214
417	57640	25097
418	57789	24964
419	57925	24825
420	58088	24697
421	58203	24550
422	58342	24412
423	58462	24267
424	58605	24131
425	58742	23993
426	58875	23853
427	59033	23723
428	59158	23580
429	59293	23441
430	59452	23311
431	59585	23172
432	59741	23041
433	59878	22902
434	60011	22762
435	60127	22616
436	60252	22474
437	60408	22342
438	60545	22204
439	60680	22065
440	60837	21934
441	60968	21794
442	61097	21653
443	61222	21510
444	61378	21379
445	61505	21237
446	61623	21092
447	61753	20952
448	61897	20816
449	62026	20675
450	62164	20537
451	62301	20399
452	62431	20259
453	62566	20120
454	62723	19988
455	62869	19853
456	63010	19716
457	63195	19593
458	63330	19454
459	63458	19313
460	63584	19172
461	63753	19043
462	63897	18907
463	64047	18772
464	64186	18634
465	64350	18504
466	64513	18373
467	64666	18239
468	64809	18102
469	64962	17968
470	65107	17831
471	65245	17693
472	65404	17561
473	65551	17425
474	65683	17285
475	65823	17147
476	65961	17008
477	66110	16873
478	66251	16735
479	66403	16600
480	66531	16459
481	66674	16322
482	66812	16184
483	66951	16046
484	67087	15907
485	67224	15768
486	67373	15632
487	67500	15492
488	67637	15353
489	67776	15215
490	67910	15075
491	68045	14936
492	68178	14797
493	68336	14663
494	68476	14525
495	68605	14384
496	68692	14236
497	68815	14094
498	68965	13959
499	69081	13816
500	69216	13677
501	69339	13536
502	69457	13394
503	69594	13256
504	69739	13119
505	69869	12979
506	70022	12844
507	70169	12707
508	70294	12567
509	70436	12430
510	70582	12293
511	70726	12156
512	70867	12018
513	71017	11882
514	71151	11743
515	71298	11606
516	71479	11475
517	71630	11339
518	71830	11210
519	72085	11090
520	72289	10961
521	72511	10835
522	72711	10705
523	72913	10575
524	73085	10440
525	73220	10300
526	73374	10163
527	73517	10025
528	73645	9884
529	73764	9742
530	73926	9606
531	74053	9465
532	74194	9326
533	74323	9186
534	74451	9045
535	74588	8906
536	74757	8770
537	74914	8633
538	75060	8494
539	75226	8358
540	75374	8220
541	75510	8080
542	75653	7941
543	75803	7803
544	75947	7664
545	76067	7523
546	76224	7385
547	76354	7245
548	76498	7106
549	76639	6967
550	76766	6826
551	76904	6687
552	77047	6548
553	77205	6410
554	77352	6271
555	77474	6131
556	77640	5993
557	77770	5853
558	77921	5715
559	78073	5576
560	78216	5437
561	78362	5298
562	78505	5159
563	78655	5020
564	78794	4881
565	78939	4741
566	79060	4601
567	79184	4461
568	79327	4321
569	79455	4181
570	79600	4042
571	79733	3903
572	79900	3764
573	80029	3625
574	80159	3485
575	80293	3345
576	80423	3205
577	80557	3066
578	80719	2927
579	80854	2788
580	80978	2648
581	81110	2508
582	81247	2369
583	81395	2230
584	81540	2090
585	81697	1951
586	81853	1812
587	82001	1673
588	82150	1534
589	82221	1393
590	82363	1254
591	82504	1114
592	82659	975
593	82781	836
594	82944	697
595	83069	557
596	83223	418
597	83360	278
598	83497	139
599	83610	0
